candidate_id,note,params,mean_cv_mae,std_cv_mae,mean_cv_rmse,mean_cv_bias,fit_seconds
min_leaf_20,Much more leaf regularization.,"{'n_estimators': 400, 'max_depth': 10, 'min_samples_leaf': 20, 'min_samples_split': 10, 'max_features': 'sqrt', 'random_state': 42, 'n_jobs': -1}",4.617120817221806,0.06895570661869439,6.0324350291994575,-0.09440087759393118,5.484000000025844
min_leaf_10,More leaf regularization.,"{'n_estimators': 400, 'max_depth': 10, 'min_samples_leaf': 10, 'min_samples_split': 10, 'max_features': 'sqrt', 'random_state': 42, 'n_jobs': -1}",4.619440877261991,0.06752195166284419,6.0343816056383055,-0.08865698063898232,5.796999999991385
n_estimators_600,More trees.,"{'n_estimators': 600, 'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 10, 'max_features': 'sqrt', 'random_state': 42, 'n_jobs': -1}",4.621599419366986,0.06435553308104357,6.035548706777078,-0.08103550341674111,8.828000000008615
min_split_20,More split regularization.,"{'n_estimators': 400, 'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 20, 'max_features': 'sqrt', 'random_state': 42, 'n_jobs': -1}",4.6217023192543145,0.06652733198079885,6.035349299349174,-0.07981807453107766,5.7189999999827705
step4_baseline,Exact frozen Step 4 configuration -- internal CV reference point.,"{'n_estimators': 400, 'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 10, 'max_features': 'sqrt', 'random_state': 42, 'n_jobs': -1}",4.62208224619098,0.06483790263925818,6.035744410701578,-0.0806765165596861,6.26500000001397
min_split_5,Less split regularization.,"{'n_estimators': 400, 'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 5, 'max_features': 'sqrt', 'random_state': 42, 'n_jobs': -1}",4.62208224619098,0.06483790263925895,6.035744410701578,-0.08067651655968612,5.75
min_leaf_3,Less leaf regularization.,"{'n_estimators': 400, 'max_depth': 10, 'min_samples_leaf': 3, 'min_samples_split': 10, 'max_features': 'sqrt', 'random_state': 42, 'n_jobs': -1}",4.623164301770304,0.0647173179315502,6.0362187789721276,-0.06981467627900793,6.25
n_estimators_300,Fewer trees.,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 10, 'max_features': 'sqrt', 'random_state': 42, 'n_jobs': -1}",4.623184797122395,0.06413772346086073,6.036811802849236,-0.077687578231856,4.25
corner_shallow_heavily_regularized,Shallower trees + heavier leaf/split regularization.,"{'n_estimators': 400, 'max_depth': 6, 'min_samples_leaf': 20, 'min_samples_split': 20, 'max_features': 'sqrt', 'random_state': 42, 'n_jobs': -1}",4.625391167696738,0.0744373405137726,6.0351447927882615,-0.08101516245208,3.562000000005355
max_depth_6,"Shallower trees, all else at Step 4 values.","{'n_estimators': 400, 'max_depth': 6, 'min_samples_leaf': 5, 'min_samples_split': 10, 'max_features': 'sqrt', 'random_state': 42, 'n_jobs': -1}",4.626241690665116,0.07369994566300032,6.035678978513683,-0.07725318813904337,4.25
corner_unlimited_depth_regularized,Unlimited depth but compensated with heavier leaf/split regularization and fewer trees.,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 20, 'max_features': 'sqrt', 'random_state': 42, 'n_jobs': -1}",4.628986330263765,0.06471492575886417,6.042633978433862,-0.07228550618775102,5.312999999994645
corner_deeper_more_trees,"Deeper trees + more trees, other regularization unchanged.","{'n_estimators': 600, 'max_depth': 14, 'min_samples_leaf': 5, 'min_samples_split': 10, 'max_features': 'sqrt', 'random_state': 42, 'n_jobs': -1}",4.631641210060151,0.06186951249701522,6.044399044781915,-0.05344021989193695,10.828999999997905
max_depth_14,"Deeper trees, all else at Step 4 values.","{'n_estimators': 400, 'max_depth': 14, 'min_samples_leaf': 5, 'min_samples_split': 10, 'max_features': 'sqrt', 'random_state': 42, 'n_jobs': -1}",4.63255967749243,0.06241014448287444,6.045768472408903,-0.054139676493151406,7.9539999999979045
max_features_half,Half of features considered per split.,"{'n_estimators': 400, 'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 10, 'max_features': 0.5, 'random_state': 42, 'n_jobs': -1}",4.634633222936344,0.0608783471249364,6.049109176626711,-0.057442904088042236,13.078000000008615
max_depth_none,"Unlimited depth, all else at Step 4 values.","{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 5, 'min_samples_split': 10, 'max_features': 'sqrt', 'random_state': 42, 'n_jobs': -1}",4.639464444817622,0.06462182911088142,6.05083873753983,-0.03351777908684737,9.35899999999674
corner_more_features_per_split,All features per split + more trees.,"{'n_estimators': 600, 'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 10, 'max_features': 1.0, 'random_state': 42, 'n_jobs': -1}",4.639940257300992,0.05763038111977885,6.054787131266777,-0.053493461142895056,39.078000000008615
max_features_all,All features considered per split (no per-split subsampling).,"{'n_estimators': 400, 'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 10, 'max_features': 1.0, 'random_state': 42, 'n_jobs': -1}",4.640636278102359,0.058353037677313355,6.054750845398057,-0.0521922818005038,24.280999999988126
corner_high_capacity,"Deeper + more trees + fewer features per split + lighter leaf regularization (highest-capacity, most-randomized corner in this search).","{'n_estimators': 600, 'max_depth': 14, 'min_samples_leaf': 3, 'min_samples_split': 5, 'max_features': 0.5, 'random_state': 42, 'n_jobs': -1}",4.65718605700111,0.057531877601536136,6.068661987085419,-0.0024236425465913314,25.312000000005355
